,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.002749020144395031,0.002741101700306864,0.002650984645516485,0.002598283194584084,0.005224220322318283,0.0017781935992396418,0.002573801950557104,0.0282782475508786,0.002134621933597893,0.005453938800154439,0.0006109414818420412,0.0027874543432366075,0.002361048546144175
fnlwgt,0.002749020144395031,0.0,7.918444088167035e-06,9.803549887854593e-05,0.00015073694981094677,0.007973240466713315,0.0009708265451553892,0.00017521819383792682,0.03102726769527363,0.004883642077992924,0.00820295894454947,0.0021380786625529898,3.8434198841576944e-05,0.0037180849073724055
education num,0.002741101700306864,7.918444088167035e-06,0.0,9.011705479037875e-05,0.00014281850572277975,0.007965322022625149,0.0009629081010672222,0.00016729974974975974,0.03101934925118546,0.004875723633904757,0.008195040500461305,0.002130160218464823,4.635264292974399e-05,0.003710708861203142
capital gain,0.002650984645516485,9.803549887854593e-05,9.011705479037875e-05,0.0,5.270145093240091e-05,0.007875204967834767,0.0008727910462768434,7.718269495938096e-05,0.03092923219639508,0.0047856065791143775,0.008104923445670924,0.002040043163674444,0.0001364696977201228,0.0036304941217910384
capital loss,0.002598283194584084,0.00015073694981094677,0.00014281850572277975,5.270145093240091e-05,0.0,0.007822503516902368,0.0008200895953444424,2.448124402698006e-05,0.030876530745462687,0.004732905128181977,0.008052221994738522,0.001987341712742043,0.00018917114865252364,0.003586830201682828
hours per week,0.005224220322318283,0.007973240466713315,0.007965322022625149,0.007875204967834767,0.007822503516902368,0.0,0.007002413921557925,0.007798022272875388,0.023054027228560314,0.0030895983887203903,0.00022971847783615577,0.005835161804160325,0.008011674665554892,0.004643568898336067
workclass,0.0017781935992396418,0.0009708265451553892,0.0009629081010672222,0.0008727910462768434,0.0008200895953444424,0.007002413921557925,0.0,0.0007956083513174624,0.03005644115011824,0.0039128155328375346,0.007232132399394081,0.0011672521173976005,0.0010092607439969661,0.0029721248612983114
education,0.002573801950557104,0.00017521819383792682,0.00016729974974975974,7.718269495938096e-05,2.448124402698006e-05,0.007798022272875388,0.0007956083513174624,0.0,0.030852049501435698,0.004708423884154997,0.008027740750711543,0.0019628604687150627,0.00021365239267950373,0.0035666931660892675
marital status,0.0282782475508786,0.03102726769527363,0.03101934925118546,0.03092923219639508,0.030876530745462687,0.023054027228560314,0.03005644115011824,0.030852049501435698,0.0,0.026143625617280706,0.022824308750724158,0.028889189032720638,0.031065701894115207,0.027312301419799654
occupation,0.002134621933597893,0.004883642077992924,0.004875723633904757,0.0047856065791143775,0.004732905128181977,0.0030895983887203903,0.0039128155328375346,0.004708423884154997,0.026143625617280706,0.0,0.003319316866556546,0.0027455634154399345,0.004922076276834501,0.0029583748680138845
relationship,0.005453938800154439,0.00820295894454947,0.008195040500461305,0.008104923445670924,0.008052221994738522,0.00022971847783615577,0.007232132399394081,0.008027740750711543,0.022824308750724158,0.003319316866556546,0.0,0.006064880281996481,0.008241393143391047,0.004826410047224812
race,0.0006109414818420412,0.0021380786625529898,0.002130160218464823,0.002040043163674444,0.001987341712742043,0.005835161804160325,0.0011672521173976005,0.0019628604687150627,0.028889189032720638,0.0027455634154399345,0.006064880281996481,0.0,0.002176512861394567,0.0024233106081028924
native country,0.0027874543432366075,3.8434198841576944e-05,4.635264292974399e-05,0.0001364696977201228,0.00018917114865252364,0.008011674665554892,0.0010092607439969661,0.00021365239267950373,0.031065701894115207,0.004922076276834501,0.008241393143391047,0.002176512861394567,0.0,0.0037538828301643427
origin,0.002361048546144175,0.0037180849073724055,0.003710708861203142,0.0036304941217910384,0.003586830201682828,0.004643568898336067,0.0029721248612983114,0.0035666931660892675,0.027312301419799654,0.0029583748680138845,0.004826410047224812,0.0024233106081028924,0.0037538828301643427,0.0
