,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.00333276500170093,0.003323263874767919,0.0032149571170797943,0.003151519053716504,0.006349580744938719,0.0021601761047535923,0.0031220319651830493,0.0026850066524545585,0.002597566446165252,0.006627865534580654,0.0007430222664245793,0.003378775246973152,0.001193667913164812
fnlwgt,0.00333276500170093,0.0,9.501126933010351e-06,0.0001178078846211354,0.0001812459479844252,0.00968234574663965,0.0011725888969473374,0.00021073303651788057,0.006017771654155488,0.00593033144786618,0.009960630536281583,0.0025897427352763506,4.601024527222254e-05,0.002731441295419423
education num,0.003323263874767919,9.501126933010351e-06,0.0,0.00010830675768812496,0.00017174482105141478,0.009672844619706638,0.001163087770014327,0.0002012319095848702,0.006008270527222478,0.005920830320933171,0.009951129409348574,0.00258024160834334,5.551137220523287e-05,0.0027224825664053168
capital gain,0.0032149571170797943,0.0001178078846211354,0.00010830675768812496,0.0,6.343806336328977e-05,0.009564537862018514,0.001054781012326202,9.292515189674523e-05,0.005899963769534352,0.005812523563245046,0.009842822651660449,0.002471934850655215,0.00016381812989335788,0.0026240781240954667
capital loss,0.003151519053716504,0.0001812459479844252,0.00017174482105141478,6.343806336328977e-05,0.0,0.009501099798655223,0.0009913429489629122,2.9487088533455443e-05,0.005836525706171063,0.005749085499881756,0.00977938458829716,0.002408496787291925,0.0002272561932566477,0.0025696775915563675
hours per week,0.006349580744938719,0.00968234574663965,0.009672844619706638,0.009564537862018514,0.009501099798655223,0.0,0.00850975684969231,0.009471612710121768,0.0036645740924841604,0.003752014298773467,0.00027828478964193545,0.007092603011363299,0.009728355991911871,0.006954250467730916
workclass,0.0021601761047535923,0.0011725888969473374,0.001163087770014327,0.001054781012326202,0.0009913429489629122,0.00850975684969231,0.0,0.0009618558604294568,0.00484518275720815,0.004757742550918843,0.008788041639334249,0.001417153838329013,0.0012185991422195598,0.00178403609632295
education,0.0031220319651830493,0.00021073303651788057,0.0002012319095848702,9.292515189674523e-05,2.9487088533455443e-05,0.009471612710121768,0.0009618558604294568,0.0,0.005807038617637608,0.0057195984113483,0.009749897499763703,0.00237900969875847,0.000256743281790103,0.0025445347114563316
marital status,0.0026850066524545585,0.006017771654155488,0.006008270527222478,0.005899963769534352,0.005836525706171063,0.0036645740924841604,0.00484518275720815,0.005807038617637608,0.0,8.744020628930694e-05,0.003942858882126096,0.0034280289188791378,0.00606378189942771,0.00330979127185365
occupation,0.002597566446165252,0.00593033144786618,0.005920830320933171,0.005812523563245046,0.005749085499881756,0.003752014298773467,0.004757742550918843,0.0057195984113483,8.744020628930694e-05,0.0,0.004030299088415403,0.003340588712589831,0.005976341693138404,0.0032242239729594825
relationship,0.006627865534580654,0.009960630536281583,0.009951129409348574,0.009842822651660449,0.00977938458829716,0.00027828478964193545,0.008788041639334249,0.009749897499763703,0.003942858882126096,0.004030299088415403,0.0,0.007370887801005234,0.010006640781553807,0.007232307872760592
race,0.0007430222664245793,0.0025897427352763506,0.00258024160834334,0.002471934850655215,0.002408496787291925,0.007092603011363299,0.001417153838329013,0.00237900969875847,0.0034280289188791378,0.003340588712589831,0.007370887801005234,0.0,0.002635752980548573,0.0011284807059980528
native country,0.003378775246973152,4.601024527222254e-05,5.551137220523287e-05,0.00016381812989335788,0.0002272561932566477,0.009728355991911871,0.0012185991422195598,0.000256743281790103,0.00606378189942771,0.005976341693138404,0.010006640781553807,0.002635752980548573,0.0,0.002774815264642006
origin,0.001193667913164812,0.002731441295419423,0.0027224825664053168,0.0026240781240954667,0.0025696775915563675,0.006954250467730916,0.00178403609632295,0.0025445347114563316,0.00330979127185365,0.0032242239729594825,0.007232307872760592,0.0011284807059980528,0.002774815264642006,0.0
