,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.0022064497506991835,0.0021999948234026337,0.002126699011953995,0.0020839274853597114,0.004144818969958677,0.001422391924007493,0.002064076270183307,0.022602483111332422,0.001697082541194514,0.04928825842821994,0.0004874771782087116,0.0022378785265222295,0.004479164634589389
fnlwgt,0.0022064497506991835,0.0,6.454927296549276e-06,7.975073874518807e-05,0.0001225222653394721,0.006351268720657861,0.0007840578266916903,0.00014237348051587647,0.024808932862031605,0.003903532291893697,0.051494708178919116,0.0017189725724904717,3.142877582304606e-05,0.005418559258527127
education num,0.0021999948234026337,6.454927296549276e-06,0.0,7.329581144863867e-05,0.00011606733804292281,0.006344813793361312,0.000777602899395141,0.00013591855321932724,0.024802477934735053,0.003897077364597148,0.05148825325162257,0.0017125176451939221,3.7883703119595434e-05,0.005412646729149481
capital gain,0.002126699011953995,7.975073874518807e-05,7.329581144863867e-05,0.0,4.2771526594284075e-05,0.0062715179819126735,0.0007043070879465023,6.262274177068852e-05,0.024729182123286418,0.0038237815531485097,0.051414957440173936,0.001639221833745284,0.0001111795145682341,0.0053492532330791185
capital loss,0.0020839274853597114,0.0001225222653394721,0.00011606733804292281,4.2771526594284075e-05,0.0,0.006228746455318389,0.0006615355613522181,1.9851215176404418e-05,0.024686410596692132,0.0037810100265542254,0.05137218591357965,0.0015964503071509996,0.00015395104116251805,0.005315519237309025
hours per week,0.004144818969958677,0.006351268720657861,0.006344813793361312,0.0062715179819126735,0.006228746455318389,0.0,0.0055672108939661714,0.006208895240141984,0.018457664141373745,0.0024477364287641633,0.045143439458261256,0.00463229614816739,0.006382697496480907,0.0050080091355511475
workclass,0.001422391924007493,0.0007840578266916903,0.000777602899395141,0.0007043070879465023,0.0006615355613522181,0.0055672108939661714,0.0,0.0006416843461758138,0.024024875035339916,0.0031194744652020077,0.05071065035222743,0.0009349147457987815,0.0008154866025147364,0.004859367930916732
education,0.002064076270183307,0.00014237348051587647,0.00013591855321932724,6.262274177068852e-05,1.9851215176404418e-05,0.006208895240141984,0.0006416843461758138,0.0,0.024666559381515726,0.0037611588113778214,0.05135233469840325,0.001576599091974595,0.00017380225633892277,0.005300012230566039
marital status,0.022602483111332422,0.024808932862031605,0.024802477934735053,0.024729182123286418,0.024686410596692132,0.018457664141373745,0.024024875035339916,0.024666559381515726,0.0,0.020905400570137907,0.026685775316887518,0.023089960289541134,0.02484036163785465,0.019432207447853803
occupation,0.001697082541194514,0.003903532291893697,0.003897077364597148,0.0038237815531485097,0.0037810100265542254,0.0024477364287641633,0.0031194744652020077,0.0037611588113778214,0.020905400570137907,0.0,0.047591175887025425,0.0021845597194032258,0.003934961067716744,0.004580106055386593
relationship,0.04928825842821994,0.051494708178919116,0.05148825325162257,0.051414957440173936,0.05137218591357965,0.045143439458261256,0.05071065035222743,0.05135233469840325,0.026685775316887518,0.047591175887025425,0.0,0.04977573560642865,0.051526136954742174,0.04607926755229043
race,0.0004874771782087116,0.0017189725724904717,0.0017125176451939221,0.001639221833745284,0.0015964503071509996,0.00463229614816739,0.0009349147457987815,0.001576599091974595,0.023089960289541134,0.0021845597194032258,0.04977573560642865,0.0,0.0017504013483135177,0.004519096145726395
native country,0.0022378785265222295,3.142877582304606e-05,3.7883703119595434e-05,0.0001111795145682341,0.00015395104116251805,0.006382697496480907,0.0008154866025147364,0.00017380225633892277,0.02484036163785465,0.003934961067716744,0.051526136954742174,0.0017504013483135177,0.0,0.005447351758300534
origin,0.004479164634589389,0.005418559258527127,0.005412646729149481,0.0053492532330791185,0.005315519237309025,0.0050080091355511475,0.004859367930916732,0.005300012230566039,0.019432207447853803,0.004580106055386593,0.04607926755229043,0.004519096145726395,0.005447351758300534,0.0
